TaskID,RecordDate,ScenarioCode,ScenarioName,DepartmentID,DepartmentName,CourseType,LabType,SessionType,TaskClass,BatchSize,ExamCriticalFlag,SkillCriticality,CPU_Demand,GPU_Demand,Memory_Demand,Bandwidth_Demand,ExpectedRuntime,ClassStartTime,ClassEndTime,ArrivalTime,Deadline,LatencyTolerance,ContinuitySensitivity,MigrationTolerance,EdgeQueueLength,NodeUtilization,NetworkRTT,PacketLossRate,LabOccupancy,NodeHealthScore,PredictedNextSlotLoad
VSDT-00341,2026-01-16,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Photovoltaic Thin-Film Characterization,NEM Digital Simulation Laboratory,Simulation,Interactive Simulation,44,0,0.884,44.29,85.03,22.89,92.9,16.36,2026-01-16 10:30:00,2026-01-16 11:45:00,2026-01-16 11:14:32,2026-01-16 11:39:53,91.64,0.78,0.179,17,0.516,38.3,0.098,0.562,0.963,0.713
VSDT-00342,2026-01-16,NET_DEG,Network degradation,DMED,Digital Media,Media Pipeline Synchronization,XR Media Studio,Assessment,Automated Assessment,28,1,0.9,67.31,43.72,15.78,94.54,13.34,2026-01-16 13:30:00,2026-01-16 15:15:00,2026-01-16 13:38:35,2026-01-16 14:07:00,73.22,0.746,0.218,3,0.321,50.73,2.89,0.77,0.822,0.547
VSDT-00343,2026-01-16,NET_DEG,Network degradation,AUTO,Automotive Technology,EV Maintenance Practical,EV Training Lab,Practice,Immersive Practical Session,37,0,0.995,69.69,75.76,29.39,164.34,31.96,2026-01-16 08:30:00,2026-01-16 09:45:00,2026-01-16 08:46:21,2026-01-16 09:19:18,85.97,0.979,0.153,2,0.329,95.97,2.251,0.709,0.832,0.404
VSDT-00344,2026-01-16,NORMAL,Normal teaching day,NURS,Nursing Simulation,Virtual Ward Monitoring,Virtual Nursing Simulation Lab,Simulation,Interactive Simulation,40,0,0.828,68.67,33.27,19.13,38.76,25.65,2026-01-16 10:30:00,2026-01-16 12:00:00,2026-01-16 10:47:20,2026-01-16 11:18:52,158.89,0.974,0.299,0,0.288,33.87,0.194,0.744,0.923,0.401
VSDT-00345,2026-01-16,NET_DEG,Network degradation,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,CNC Simulation Lab,Simulation,Interactive Simulation,25,0,0.696,39.19,21.33,19.37,45.14,12.12,2026-01-16 15:30:00,2026-01-16 17:00:00,2026-01-16 16:00:46,2026-01-16 16:23:51,115.59,0.705,0.314,1,0.332,100.45,2.966,0.547,0.788,0.327
VSDT-00346,2026-01-16,NORMAL,Normal teaching day,IMFG,Intelligent Manufacturing,Robot Cell Control,CNC Simulation Lab,Simulation,Interactive Simulation,23,0,0.785,57.14,25.66,9.24,37.04,27.75,2026-01-16 10:30:00,2026-01-16 12:30:00,2026-01-16 11:03:29,2026-01-16 11:39:24,79.56,0.862,0.277,2,0.36,21.52,0.386,0.473,0.904,0.413
VSDT-00347,2026-01-16,EXAM,Exam-week priority load,AUTO,Automotive Technology,Engine Simulation,EV Training Lab,Assessment,Automated Assessment,30,1,0.901,75.59,23.44,5.78,33.78,18.44,2026-01-16 15:30:00,2026-01-16 17:30:00,2026-01-16 15:30:52,2026-01-16 15:53:27,112.03,0.664,0.359,13,0.527,30.58,0.338,0.899,0.848,0.602
VSDT-00348,2026-01-16,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Robot Cell Control,CNC Simulation Lab,Simulation,Interactive Simulation,40,0,0.916,38.01,50.42,8.03,61.17,16.0,2026-01-16 13:30:00,2026-01-16 14:45:00,2026-01-16 13:39:06,2026-01-16 14:01:14,120.82,0.692,0.361,20,0.959,23.04,0.223,0.723,0.617,0.907
VSDT-00349,2026-01-16,EXAM,Exam-week priority load,IMFG,Intelligent Manufacturing,Robot Cell Control,Smart Manufacturing Lab,Practice,Immersive Practical Session,19,1,1,65.79,66.05,13.37,95.09,35.54,2026-01-16 13:30:00,2026-01-16 15:30:00,2026-01-16 14:58:51,2026-01-16 15:30:00,98.61,0.861,0.216,13,0.464,8.31,0.848,0.78,0.853,0.746
VSDT-00350,2026-01-16,OVERLAP,Overlapping practical classes,IMFG,Intelligent Manufacturing,CNC Virtual Workshop,Smart Manufacturing Lab,Practice,Immersive Practical Session,45,0,0.807,63.09,89.19,16.66,87.08,36.64,2026-01-16 13:30:00,2026-01-16 15:30:00,2026-01-16 13:38:08,2026-01-16 14:20:58,113.58,0.906,0.134,9,0.556,24.71,0.399,0.845,0.848,0.563
VSDT-00351,2026-01-16,EXAM,Exam-week priority load,DMED,Digital Media,XR Content Studio,XR Media Studio,Assessment,Automated Assessment,40,1,1,74.09,24.05,16.25,58.78,22.98,2026-01-16 13:30:00,2026-01-16 15:15:00,2026-01-16 13:48:19,2026-01-16 14:12:14,68.92,0.705,0.307,8,0.749,11.24,0.71,0.482,0.914,0.481
VSDT-00352,2026-01-16,OVERLAP,Overlapping practical classes,ELEC,Electronics Training,Embedded Systems Practical,Electronics Training Lab,Assessment,Automated Assessment,50,1,0.948,51.7,13.91,13.23,46.16,23.09,2026-01-16 08:30:00,2026-01-16 10:15:00,2026-01-16 08:32:42,2026-01-16 08:54:38,90.54,0.924,0.441,14,0.655,36.43,0.188,0.688,0.847,0.628
VSDT-00353,2026-01-19,OVERLAP,Overlapping practical classes,AUTO,Automotive Technology,Automotive Fault Diagnosis,Automotive Simulation Lab,Simulation,Interactive Simulation,45,0,0.833,55.09,80.06,18.61,92.01,17.56,2026-01-19 10:30:00,2026-01-19 12:00:00,2026-01-19 10:36:05,2026-01-19 10:54:38,158.96,0.888,0.17,18,0.813,15.81,0.178,0.82,0.944,0.503
VSDT-00354,2026-01-19,OVERLAP,Overlapping practical classes,DMED,Digital Media,Immersive Design Assessment,3D Rendering Lab,Analytics,Background Analytics,29,0,0.373,58.0,15.93,11.19,34.09,26.02,2026-01-19 10:30:00,2026-01-19 12:15:00,2026-01-19 10:42:17,2026-01-19 11:24:19,465.01,0.199,0.798,9,0.714,34.4,0.938,0.573,0.914,0.938
VSDT-00355,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,ELEC,Electronics Training,AI-Assisted Circuit Testing,Power Electronics Lab,Simulation,Interactive Simulation,40,0,0.948,69.67,52.5,10.8,47.85,14.98,2026-01-19 15:30:00,2026-01-19 17:30:00,2026-01-19 16:53:45,2026-01-19 17:13:13,116.68,0.732,0.34,22,0.604,27.06,0.332,0.687,0.692,0.751
VSDT-00356,2026-01-19,EXAM,Exam-week priority load,DMED,Digital Media,Interactive Design Practical,3D Rendering Lab,Assessment,Automated Assessment,27,1,0.957,73.84,56.71,12.21,42.82,15.99,2026-01-19 13:30:00,2026-01-19 15:15:00,2026-01-19 14:16:15,2026-01-19 14:42:11,104.45,0.624,0.184,12,0.621,9.23,0.914,0.6,0.87,0.694
VSDT-00357,2026-01-19,NET_DEG,Network degradation,ELEC,Electronics Training,Power Electronics Lab,Power Electronics Lab,Practice,Immersive Practical Session,26,0,0.871,56.02,87.95,14.43,155.07,19.78,2026-01-19 13:30:00,2026-01-19 15:15:00,2026-01-19 14:43:40,2026-01-19 15:06:01,81.31,0.949,0.134,5,0.452,68.44,3.563,0.4,0.887,0.408
VSDT-00358,2026-01-19,OVERLAP,Overlapping practical classes,AUTO,Automotive Technology,Engine Simulation,Automotive Simulation Lab,Sync,Content Synchronization,40,0,0.396,24.21,1.77,2.64,136.71,11.15,2026-01-19 15:30:00,2026-01-19 17:15:00,2026-01-19 16:52:53,2026-01-19 17:15:00,152.98,0.226,0.641,11,0.695,33.79,0.923,0.907,0.899,0.575
VSDT-00359,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,DMED,Digital Media,Media Pipeline Synchronization,3D Rendering Lab,Practice,Immersive Practical Session,25,0,0.967,58.73,57.56,25.7,168.16,44.25,2026-01-19 13:30:00,2026-01-19 15:00:00,2026-01-19 14:11:59,2026-01-19 15:00:00,78.7,0.851,0.179,26,0.933,41.87,0.464,0.581,0.834,0.939
VSDT-00360,2026-01-19,NET_DEG,Network degradation,NEM,New Energy Materials,Battery Thermal Safety Visualization,Battery Materials Lab,Simulation,Interactive Simulation,41,0,0.971,49.64,61.36,18.98,136.49,12.51,2026-01-19 10:30:00,2026-01-19 12:15:00,2026-01-19 11:54:07,2026-01-19 12:15:00,90.61,0.83,0.158,6,0.321,79.3,5.588,0.548,0.932,0.398
VSDT-00361,2026-01-19,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Advanced Battery Management Systems and Material Characterization,Battery Materials Lab,Simulation,Interactive Simulation,43,0,0.822,74.01,56.04,11.76,104.14,14.02,2026-01-19 15:30:00,2026-01-19 16:45:00,2026-01-19 15:39:36,2026-01-19 15:58:12,137.59,0.744,0.246,12,0.794,23.66,0.564,0.554,0.926,0.424
VSDT-00362,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,DMED,Digital Media,Media Pipeline Synchronization,XR Media Studio,Practice,Immersive Practical Session,27,0,0.949,73.9,70.07,28.99,166.69,29.3,2026-01-19 10:30:00,2026-01-19 12:15:00,2026-01-19 10:58:07,2026-01-19 11:30:56,77.54,0.903,0.094,17,0.672,23.31,0.276,0.647,0.682,0.832
VSDT-00363,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,NEM,New Energy Materials,Advanced Battery Management Systems and Material Characterization,Photovoltaic Characterization Lab,Analytics,Background Analytics,44,0,0.48,40.9,13.15,13.84,49.7,36.71,2026-01-19 10:30:00,2026-01-19 11:45:00,2026-01-19 11:02:21,2026-01-19 11:41:45,264.52,0.122,0.775,19,0.553,14.47,0.15,0.737,0.701,0.542
VSDT-00364,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,CNC Simulation Lab,Practice,Immersive Practical Session,30,0,0.831,69.26,87.37,15.93,97.25,41.63,2026-01-19 10:30:00,2026-01-19 11:45:00,2026-01-19 10:51:24,2026-01-19 11:45:00,81.63,0.871,0.1,18,0.907,31.8,0.596,0.391,0.658,0.68
VSDT-00365,2026-01-19,EXAM,Exam-week priority load,NEM,New Energy Materials,Fuel-Cell Catalyst Characterization,Photovoltaic Characterization Lab,Analytics,Background Analytics,26,1,0.422,97.15,22.57,20.72,24.65,21.27,2026-01-19 08:30:00,2026-01-19 10:30:00,2026-01-19 09:19:36,2026-01-19 09:41:01,488.38,0.273,0.963,14,0.52,21.57,0.995,0.527,0.884,0.85
VSDT-00366,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,AUTO,Automotive Technology,EV Maintenance Practical,EV Training Lab,Simulation,Interactive Simulation,24,0,0.868,52.12,35.84,16.69,36.92,26.03,2026-01-19 10:30:00,2026-01-19 12:00:00,2026-01-19 11:37:56,2026-01-19 12:00:00,81.46,0.837,0.172,19,0.806,38.45,0.58,0.4,0.781,0.54
VSDT-00367,2026-01-19,NET_DEG,Network degradation,NEM,New Energy Materials,Electrochemical Impedance Spectroscopy for Solid-State Batteries,Microscopy and Materials Imaging Lab,Practice,Immersive Practical Session,42,0,0.87,64.46,49.04,20.67,226.2,14.91,2026-01-19 13:30:00,2026-01-19 15:00:00,2026-01-19 14:22:43,2026-01-19 14:44:29,126.88,1,0.01,7,0.677,66.49,2.765,0.67,0.891,0.388
VSDT-00368,2026-01-19,NORMAL,Normal teaching day,DMED,Digital Media,Media Pipeline Synchronization,3D Rendering Lab,Practice,Immersive Practical Session,29,0,0.89,56.7,66.3,27.77,160.15,29.72,2026-01-19 08:30:00,2026-01-19 10:30:00,2026-01-19 08:38:51,2026-01-19 09:17:58,93.05,0.83,0.21,2,0.578,36.8,0.515,0.546,0.82,0.476
VSDT-00369,2026-01-19,NET_DEG,Network degradation,AUTO,Automotive Technology,Automotive Fault Diagnosis,Automotive Simulation Lab,Analytics,Background Analytics,20,0,0.324,78.19,13.61,13.39,27.59,58.61,2026-01-19 10:30:00,2026-01-19 12:00:00,2026-01-19 11:24:25,2026-01-19 12:00:00,414.24,0.218,0.934,6,0.531,101.69,2.643,0.433,0.891,0.548
VSDT-00370,2026-01-19,OVERLAP,Overlapping practical classes,DMED,Digital Media,Immersive Design Assessment,XR Media Studio,Practice,Immersive Practical Session,44,0,0.985,74.9,94.75,17.09,175.26,32.46,2026-01-19 13:30:00,2026-01-19 15:30:00,2026-01-19 13:56:22,2026-01-19 14:38:47,112.67,0.883,0.136,15,0.724,27.94,0.214,0.764,0.915,0.62
VSDT-00371,2026-01-19,EXAM,Exam-week priority load,NEM,New Energy Materials,Battery Thermal Safety Visualization,NEM Digital Simulation Laboratory,Assessment,Automated Assessment,22,1,0.951,60.08,27.52,16.84,23.29,6.52,2026-01-19 08:30:00,2026-01-19 10:30:00,2026-01-19 09:30:51,2026-01-19 09:47:31,110.33,0.952,0.411,8,0.819,18.37,0.428,0.767,0.902,0.533
VSDT-00372,2026-01-19,NORMAL,Normal teaching day,ELEC,Electronics Training,Embedded Systems Practical,Electronics Training Lab,Assessment,Automated Assessment,42,1,0.998,60.17,25.83,11.98,60.47,13.21,2026-01-19 10:30:00,2026-01-19 12:00:00,2026-01-19 10:54:09,2026-01-19 11:20:06,73.71,0.726,0.194,0,0.637,37.63,0.578,0.767,0.913,0.526
VSDT-00373,2026-01-19,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Advanced Battery Management Systems and Material Characterization,Battery Materials Lab,Simulation,Interactive Simulation,35,0,1,42.42,34.59,11.71,52.24,22.06,2026-01-19 08:30:00,2026-01-19 10:15:00,2026-01-19 09:13:44,2026-01-19 09:37:46,108.72,0.772,0.202,12,0.512,14.59,0.987,0.681,0.89,0.909
VSDT-00374,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,AUTO,Automotive Technology,Battery Pack Safety Demonstration,EV Training Lab,Assessment,Automated Assessment,20,1,0.951,64.9,33.94,15.51,36.25,10.18,2026-01-19 10:30:00,2026-01-19 12:15:00,2026-01-19 11:28:20,2026-01-19 11:44:55,86.01,0.933,0.169,18,0.592,12.81,0.953,0.769,0.725,0.531
VSDT-00375,2026-01-19,EXAM,Exam-week priority load,NEM,New Energy Materials,AI-Based Microstructure Analysis of Perovskite Solar Cells,NEM Digital Simulation Laboratory,Simulation,Interactive Simulation,23,1,0.96,67.32,53.17,14.64,109.16,29.27,2026-01-19 08:30:00,2026-01-19 10:15:00,2026-01-19 09:15:33,2026-01-19 09:56:41,153.62,0.928,0.327,13,0.435,10.3,0.161,0.612,0.914,0.583
VSDT-00376,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,Smart Manufacturing Lab,Assessment,Automated Assessment,20,1,0.95,32.37,42.71,10.64,34.94,9.79,2026-01-19 13:30:00,2026-01-19 14:45:00,2026-01-19 13:48:57,2026-01-19 14:12:45,134.25,0.648,0.185,16,0.772,28.68,0.063,0.362,0.604,0.933
VSDT-00377,2026-01-19,NORMAL,Normal teaching day,NEM,New Energy Materials,Hydrogen Storage Materials Simulation,Microscopy and Materials Imaging Lab,Assessment,Automated Assessment,40,0,0.961,37.8,57.51,8.61,89.43,14.79,2026-01-19 15:30:00,2026-01-19 16:45:00,2026-01-19 15:40:08,2026-01-19 16:03:16,76.95,0.909,0.37,2,0.568,35.53,0.102,0.666,0.918,0.385
VSDT-00378,2026-01-19,NET_DEG,Network degradation,NEM,New Energy Materials,High-Resolution Microscopy Stream Analysis,Microscopy and Materials Imaging Lab,Assessment,Automated Assessment,33,0,1,45.05,15.67,14.57,54.58,19.92,2026-01-19 13:30:00,2026-01-19 15:30:00,2026-01-19 14:55:23,2026-01-19 15:23:49,80.52,0.908,0.218,6,0.303,74.34,3.765,0.717,0.848,0.725
VSDT-00379,2026-01-19,EXAM,Exam-week priority load,AUTO,Automotive Technology,EV Maintenance Practical,EV Training Lab,Assessment,Automated Assessment,33,1,1,54.04,51.15,11.65,64.57,23.89,2026-01-19 13:30:00,2026-01-19 15:30:00,2026-01-19 14:24:02,2026-01-19 14:57:42,82.22,0.619,0.25,11,0.687,27.99,0.523,0.819,0.846,0.556
VSDT-00380,2026-01-19,NET_DEG,Network degradation,NEM,New Energy Materials,Advanced Battery Management Systems and Material Characterization,NEM Digital Simulation Laboratory,Assessment,Automated Assessment,29,1,0.956,49.89,39.73,8.29,49.45,20.44,2026-01-19 15:30:00,2026-01-19 17:00:00,2026-01-19 15:36:12,2026-01-19 16:02:43,134.49,0.662,0.235,0,0.572,99.2,4.896,0.58,0.897,0.447
VSDT-00381,2026-01-19,NORMAL,Normal teaching day,DMED,Digital Media,XR Content Studio,XR Media Studio,Assessment,Automated Assessment,35,0,0.942,58.46,57.44,7.47,64.9,9.18,2026-01-19 15:30:00,2026-01-19 16:45:00,2026-01-19 15:52:32,2026-01-19 16:09:20,124.39,0.864,0.249,0,0.433,8.55,0.207,0.523,0.825,0.641
VSDT-00382,2026-01-19,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,AI-Based Microstructure Analysis of Perovskite Solar Cells,Photovoltaic Characterization Lab,Practice,Immersive Practical Session,37,0,0.885,70.8,100,12.72,146.99,26.94,2026-01-19 08:30:00,2026-01-19 10:30:00,2026-01-19 08:32:23,2026-01-19 09:03:55,121.2,0.973,0.051,8,0.747,40.17,0.23,0.504,0.961,0.643
VSDT-00383,2026-01-19,EXAM,Exam-week priority load,AUTO,Automotive Technology,Sensor Calibration Lab,EV Training Lab,Analytics,Background Analytics,26,1,0.574,43.56,16.86,12.55,71.7,52.48,2026-01-19 13:30:00,2026-01-19 15:15:00,2026-01-19 13:59:48,2026-01-19 14:52:50,390.2,0.373,0.914,14,0.481,37.1,0.505,0.815,0.945,0.831
VSDT-00384,2026-01-19,OVERLAP,Overlapping practical classes,NURS,Nursing Simulation,Emergency Response Practical,Clinical Skills Lab,Simulation,Interactive Simulation,31,0,0.822,59.81,53.05,20.08,126.74,13.57,2026-01-19 10:30:00,2026-01-19 12:30:00,2026-01-19 11:29:52,2026-01-19 11:46:59,91.07,0.703,0.328,13,0.522,33.28,0.989,0.888,0.913,0.559
VSDT-00385,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,CNC Simulation Lab,Simulation,Interactive Simulation,19,0,0.905,57.41,66.3,18.61,95.11,18.07,2026-01-19 15:30:00,2026-01-19 17:15:00,2026-01-19 16:39:14,2026-01-19 17:04:42,131.43,0.724,0.202,26,0.755,20.73,0.55,0.691,0.628,0.561
VSDT-00386,2026-01-19,OVERLAP,Overlapping practical classes,DMED,Digital Media,Immersive Design Assessment,3D Rendering Lab,Practice,Immersive Practical Session,38,0,0.816,68.01,68.61,30.05,99.04,40.01,2026-01-19 10:30:00,2026-01-19 12:15:00,2026-01-19 11:28:00,2026-01-19 12:08:57,96.35,0.991,0.168,14,0.67,28.61,0.122,0.567,0.983,0.787
VSDT-00387,2026-01-19,NET_DEG,Network degradation,IMFG,Intelligent Manufacturing,Industrial Process Monitoring,CNC Simulation Lab,Practice,Immersive Practical Session,33,0,0.797,71.06,45.94,13.31,136.58,17.59,2026-01-19 08:30:00,2026-01-19 10:15:00,2026-01-19 08:38:20,2026-01-19 09:09:51,78.23,0.961,0.147,6,0.481,106.96,5.579,0.436,0.753,0.311
VSDT-00388,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,AUTO,Automotive Technology,Battery Pack Safety Demonstration,Automotive Simulation Lab,Simulation,Interactive Simulation,21,0,0.823,55.76,50.8,9.14,88.73,23.56,2026-01-19 13:30:00,2026-01-19 15:00:00,2026-01-19 14:08:16,2026-01-19 14:41:05,105.86,0.763,0.311,16,0.842,10.85,0.263,0.571,0.724,0.623
VSDT-00389,2026-01-19,NET_DEG,Network degradation,NEM,New Energy Materials,AI-Based Microstructure Analysis of Perovskite Solar Cells,Microscopy and Materials Imaging Lab,Assessment,Automated Assessment,34,0,1,55.24,53.38,11.64,109.88,14.01,2026-01-19 10:30:00,2026-01-19 12:00:00,2026-01-19 11:10:16,2026-01-19 11:35:26,93.78,0.78,0.2,2,0.488,116.77,1.984,0.378,0.872,0.487
VSDT-00390,2026-01-19,NORMAL,Normal teaching day,NURS,Nursing Simulation,Virtual Ward Monitoring,Clinical Skills Lab,Practice,Immersive Practical Session,18,0,0.932,54.3,77.82,17.11,132.72,37.19,2026-01-19 13:30:00,2026-01-19 15:00:00,2026-01-19 14:36:36,2026-01-19 15:00:00,129.09,0.821,0.133,5,0.549,20.02,0.324,0.41,0.821,0.343
VSDT-00391,2026-01-19,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Electrochemical Impedance Spectroscopy for Solid-State Batteries,NEM Digital Simulation Laboratory,Analytics,Background Analytics,29,0,0.359,77.89,26.87,18.17,64.56,23.04,2026-01-19 13:30:00,2026-01-19 15:30:00,2026-01-19 14:23:30,2026-01-19 14:56:47,461.25,0.186,0.618,8,0.429,32.11,0.923,0.815,0.928,0.842
VSDT-00392,2026-01-19,EXAM,Exam-week priority load,NEM,New Energy Materials,Fuel-Cell Catalyst Characterization,Photovoltaic Characterization Lab,Practice,Immersive Practical Session,42,1,0.942,70.5,100,14.87,128.03,39.87,2026-01-19 08:30:00,2026-01-19 09:45:00,2026-01-19 09:03:15,2026-01-19 09:45:00,94.17,0.944,0.203,4,0.748,36.45,0.869,0.803,0.821,0.636
VSDT-00393,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,NURS,Nursing Simulation,Emergency Response Practical,Clinical Skills Lab,Simulation,Interactive Simulation,34,0,0.759,56.17,72.3,6.57,72.36,16.38,2026-01-19 13:30:00,2026-01-19 15:00:00,2026-01-19 14:11:26,2026-01-19 14:42:47,133.24,0.975,0.183,15,0.882,27.78,0.529,0.539,0.827,0.922
VSDT-00394,2026-01-19,NORMAL,Normal teaching day,DMED,Digital Media,Interactive Design Practical,3D Rendering Lab,Simulation,Interactive Simulation,18,0,0.734,62.83,47.09,16.67,75.64,29.85,2026-01-19 08:30:00,2026-01-19 09:45:00,2026-01-19 09:19:46,2026-01-19 09:45:00,105.32,0.702,0.206,5,0.286,33.64,0.259,0.563,0.948,0.506
VSDT-00395,2026-01-19,NORMAL,Normal teaching day,IMFG,Intelligent Manufacturing,Production Line Digital Twin,CNC Simulation Lab,Sync,Content Synchronization,34,0,0.533,19.18,1.88,3.91,66.22,9.51,2026-01-19 08:30:00,2026-01-19 10:15:00,2026-01-19 09:38:43,2026-01-19 09:58:41,240.8,0.465,0.63,3,0.544,18.51,0.828,0.681,0.842,0.308
VSDT-00396,2026-01-19,EXAM,Exam-week priority load,DMED,Digital Media,Interactive Design Practical,3D Rendering Lab,Assessment,Automated Assessment,22,1,1,36.45,24.64,13.99,90.33,11.57,2026-01-19 08:30:00,2026-01-19 10:30:00,2026-01-19 09:27:31,2026-01-19 09:54:30,137.26,0.607,0.223,6,0.604,16.1,0.524,0.701,0.888,0.873
VSDT-00397,2026-01-19,NORMAL,Normal teaching day,ELEC,Electronics Training,Sensor Calibration and Data Logging,Electronics Training Lab,Sync,Content Synchronization,19,0,0.264,32.06,5.75,6.92,190.04,7.69,2026-01-19 13:30:00,2026-01-19 14:45:00,2026-01-19 13:55:07,2026-01-19 14:12:45,225.95,0.485,0.683,3,0.538,33.42,0.947,0.436,0.987,0.482
VSDT-00398,2026-01-19,NORMAL,Normal teaching day,DMED,Digital Media,XR Content Studio,3D Rendering Lab,Simulation,Interactive Simulation,20,0,0.865,37.14,40.03,18.9,106.46,24.8,2026-01-19 10:30:00,2026-01-19 11:45:00,2026-01-19 10:57:24,2026-01-19 11:40:03,148.8,0.752,0.122,6,0.586,33.84,0.072,0.47,0.824,0.319
VSDT-00399,2026-01-19,NET_DEG,Network degradation,NEM,New Energy Materials,Photovoltaic Thin-Film Characterization,Microscopy and Materials Imaging Lab,Analytics,Background Analytics,35,0,0.413,90.34,8.96,20.93,71.45,34.11,2026-01-19 10:30:00,2026-01-19 12:15:00,2026-01-19 10:45:29,2026-01-19 11:28:10,344.21,0.166,0.905,6,0.491,59.26,3.98,0.538,0.809,0.402
VSDT-00400,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,Smart Manufacturing Lab,Simulation,Interactive Simulation,23,0,0.838,52.29,68.56,13.74,56.42,24.87,2026-01-19 08:30:00,2026-01-19 10:15:00,2026-01-19 08:42:42,2026-01-19 09:23:57,93.18,0.763,0.113,23,0.98,8.48,0.945,0.624,0.693,0.547
VSDT-00401,2026-01-19,NET_DEG,Network degradation,AUTO,Automotive Technology,Battery Pack Safety Demonstration,EV Training Lab,Simulation,Interactive Simulation,21,0,0.828,35.19,51.59,16.5,88.95,15.8,2026-01-19 08:30:00,2026-01-19 10:30:00,2026-01-19 09:30:50,2026-01-19 09:56:50,71.37,0.727,0.137,6,0.342,97.37,3.903,0.618,0.824,0.603
VSDT-00402,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Industrial Process Monitoring,Smart Manufacturing Lab,Sync,Content Synchronization,33,0,0.578,33.38,13.17,5.36,133.05,12.01,2026-01-19 08:30:00,2026-01-19 10:15:00,2026-01-19 08:32:35,2026-01-19 08:52:35,183.58,0.282,0.59,22,0.703,24.99,0.757,0.495,0.672,0.872
VSDT-00403,2026-01-19,EDGE_STRESS,Edge-node congestion or partial failure,NEM,New Energy Materials,Photovoltaic Thin-Film Characterization,Battery Materials Lab,Practice,Immersive Practical Session,45,0,0.952,82.95,98.62,22.19,191.41,36.91,2026-01-19 13:30:00,2026-01-19 15:00:00,2026-01-19 13:44:46,2026-01-19 14:27:26,71.65,0.859,0.226,8,0.567,11.49,0.705,0.752,0.683,1.0
VSDT-00404,2026-01-19,EXAM,Exam-week priority load,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,Smart Manufacturing Lab,Assessment,Automated Assessment,31,1,0.904,45.6,32.31,16.49,95.26,13.97,2026-01-19 08:30:00,2026-01-19 10:00:00,2026-01-19 09:29:35,2026-01-19 09:49:44,99.34,0.618,0.264,12,0.595,39.25,0.426,0.597,0.893,0.712
VSDT-00405,2026-01-19,NET_DEG,Network degradation,AUTO,Automotive Technology,Automotive Fault Diagnosis,Automotive Simulation Lab,Practice,Immersive Practical Session,38,0,0.911,56.19,87.63,23.09,73.98,26.22,2026-01-19 13:30:00,2026-01-19 15:00:00,2026-01-19 13:37:27,2026-01-19 14:06:31,73.35,0.884,0.099,0,0.665,90.71,5.611,0.724,0.908,0.71
VSDT-00406,2026-01-19,OVERLAP,Overlapping practical classes,ELEC,Electronics Training,Control Systems Simulation,Power Electronics Lab,Practice,Immersive Practical Session,23,0,0.984,84.28,40.76,26.23,137.37,45.1,2026-01-19 10:30:00,2026-01-19 12:30:00,2026-01-19 10:44:57,2026-01-19 11:38:48,104.46,0.963,0.219,15,0.646,11.0,0.66,0.622,0.83,0.671
VSDT-00407,2026-01-19,EXAM,Exam-week priority load,IMFG,Intelligent Manufacturing,Robot Cell Control,Smart Manufacturing Lab,Sync,Content Synchronization,36,1,0.379,28.76,9.72,3.83,92.87,10.89,2026-01-19 13:30:00,2026-01-19 15:30:00,2026-01-19 13:31:39,2026-01-19 13:58:21,241.64,0.508,0.73,13,0.665,28.22,0.496,0.561,0.948,0.494
VSDT-00408,2026-01-19,OVERLAP,Overlapping practical classes,AUTO,Automotive Technology,Sensor Calibration Lab,EV Training Lab,Assessment,Automated Assessment,47,0,0.853,35.42,33.9,16.11,36.34,13.99,2026-01-19 13:30:00,2026-01-19 14:45:00,2026-01-19 14:22:51,2026-01-19 14:45:00,101.91,0.715,0.201,12,0.526,41.93,0.107,0.865,0.845,0.782
